2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-13T05:47:35, amount=265.8, currency='EUR', detail='Ut ut necessitatibus itaque ullam.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T02:35:43, amount=2904.33, currency='EUR', detail='Autem consequatur dolores et reprehenderit modi ab.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T06:22:34, amount=-956.62, currency='EUR', detail='Error est dicta nesciunt vel dolorem error odio.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T03:53:32, amount=-4950.98, currency='EUR', detail='Soluta hic corporis eligendi sit aut non.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T16:37:08, amount=-4385.94, currency='EUR', detail='Eaque incidunt cumque fugiat explicabo ullam.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T00:02, amount=4383.9, currency='EUR', detail='Aut blanditiis mollitia aut repudiandae nesciunt.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-03T06:38:09, amount=-4551.72, currency='EUR', detail='Aut eligendi corrupti necessitatibus qui ut at excepturi.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-09T07:22:32, amount=-3814.91, currency='EUR', detail='Quo deserunt quis qui.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T10:26:34, amount=359.63, currency='EUR', detail='Minus vitae voluptatum ut non ea dolores.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T19:28:31, amount=2959.35, currency='EUR', detail='Ducimus est omnis et omnis.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T13:53:55, amount=-1371.66, currency='EUR', detail='Incidunt id voluptatem dolores et voluptatum sit.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-26T23:41:06, amount=1650.21, currency='EUR', detail='Ea natus et eligendi ipsum consequatur.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-18T04:25, amount=-1500.65, currency='EUR', detail='Ullam et quasi eveniet.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-06T10:02:50, amount=-384.75, currency='EUR', detail='Et sit deserunt ut doloremque non sit.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-16T13:18:44, amount=4227.08, currency='EUR', detail='Nostrum animi aliquid sed.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-01T07:07:15, amount=-1623.63, currency='EUR', detail='Ipsa fuga et ut.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-15T02:17:12, amount=4306.76, currency='EUR', detail='In maiores corrupti minima in molestiae.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-03T11:05:27, amount=-765.15, currency='EUR', detail='Quae omnis omnis itaque architecto illo et.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-11T21:57:18, amount=837.3, currency='EUR', detail='Ab et et ab quo aperiam.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-17T08:26:11, amount=3102.6, currency='EUR', detail='Quos et error nemo.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-06T13:38:16, amount=2746.02, currency='EUR', detail='Quo unde consequatur cupiditate distinctio.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T00:34:47, amount=-1965.99, currency='EUR', detail='Pariatur quia laborum.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-01-31T18:28:27, amount=372.33, currency='EUR', detail='Est voluptatibus tempora non.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-14T16:18:47, amount=288.6, currency='EUR', detail='Nisi exercitationem distinctio illo et.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-08T04:27:03, amount=1343.4, currency='EUR', detail='Facilis quibusdam consequatur sint neque.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-12T10:36:36, amount=3427.17, currency='EUR', detail='Voluptatum nisi libero in quo inventore sed.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-04T19:29:10, amount=2373.74, currency='EUR', detail='Omnis beatae non debitis magni.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-01T16:08:52, amount=-80.97, currency='EUR', detail='Quidem excepturi fugiat et voluptate qui voluptatem.'}]}
2020-02-19 12:08:33 DEBUG BudgetPlannerImporter:48 - Account{IBAN='BE69771770897312', name='Jos', payments=[{date=2020-02-07T05:39:18, amount=-1746.75, currency='EUR', detail='Voluptas nihil nobis id.'}]}
